"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R01460"	"C03855[c] + C00001[c] <=> C00187[c] + C00031[c]"	"cholesteryl-beta-D-glucoside glucohydrolase"	"Cholesteryl-beta-D-glucoside + H2O <=> Cholesterol + D-Glucose"
"R11199"	"2 C00411[c] + C00315[c] <=> 2 C00010[c] + C21170[c]"	"sinapoyl-CoA:spermidine N-sinapoyltransferase"	"2 Sinapoyl-CoA + Spermidine <=> 2 CoA + N1,N8-Bis(sinapoyl)spermidine"
"R03236"	"C01097[c] + C00002[c] <=> C03785[c] + C00008[c]"	"ATP:D-tagatose-6-phosphate 1-phosphotransferase"	"D-Tagatose 6-phosphate + ATP <=> D-Tagatose 1,6-bisphosphate + ADP"
"R10647"	"C20755[c] + C00019[c] <=> C20753[c] + C00021[c]"	"X"	"2-Thio-N6-dimethylallyladenine in tRNA + S-Adenosyl-L-methionine <=> 2-Methylthio-N6-dimethylallyladenine in tRNA + S-Adenosyl-L-homocysteine"
"R02184"	"C00002[c] + C00404[c] <=> C00008[c] + C00404[c]"	"ATP:polyphosphate phosphotransferase"	"ATP + Polyphosphate <=> ADP + Polyphosphate"
"R04809"	"C05447[c] + C00001[c] <=> C05448[c]"	"(24R,25R)-3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA hydro-lyase [(24E)-3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA-forming]"	"(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA + H2O <=> (24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA"
"R00299"	"C00002[c] + C00031[c] <=> C00008[c] + C00092[c]"	"ATP:D-glucose 6-phosphotransferase"	"ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate"
"R11595"	"C00019[c] + C02105[c] <=> C00021[c] + C21491[c]"	"S-adenosyl-L-methionine:(S)-reticuline N-methyltransferase"	"S-Adenosyl-L-methionine + (S)-Reticuline <=> S-Adenosyl-L-homocysteine + (S)-Tembetarine"
"R00257"	"C00002[c] + C00857[c] + C00064[c] + C00001[c] <=> C00020[c] + C00013[c] + C00003[c] + C00025[c]"	"deamido-NAD+:L-glutamine amido-ligase (AMP-forming)"	"ATP + Deamino-NAD+ + L-Glutamine + H2O <=> AMP + Diphosphate + NAD+ + L-Glutamate"
"R06350"	"C11866[c] <=> C11867[c]"	"X"	"2,3-Dehydro-gibberellin A9 <=> Gibberellin A7"
"R01589"	"C02294[c] + C00001[c] <=> C00218[c] + C00086[c]"	"methylguanidine amidinohydrolase"	"Methylguanidine + H2O <=> Methylamine + Urea"
"R03725"	"C01802[c] + C00019[c] <=> C15781[c] + C00021[c]"	"X"	"Desmosterol + S-Adenosyl-L-methionine <=> 24-Methylenecholesterol + S-Adenosyl-L-homocysteine"
"R10600"	"C00024[c] + C00490[c] <=> C00033[c] + C00531[c]"	"acetyl-CoA:itaconate CoA-transferase"	"Acetyl-CoA + Itaconate <=> Acetate + Itaconyl-CoA"
"R02813"	"C03195[c] <=> C00712[c] + C00001[c]"	"(R)-10-hydroxystearate 10-hydro-lyase"	"(R)-10-Hydroxystearate <=> (9Z)-Octadecenoic acid + H2O"
"R11182"	"C00111[c] + C00024[c] <=> C20960[c] + C00010[c]"	"acetyl-CoA:glycerone phosphate C-acetyltransferase"	"Glycerone phosphate + Acetyl-CoA <=> 3-Hydroxy-5-phosphooxypentane-2,4-dione + CoA"
"R08936"	"C01209[c] + C18046[c] <=> C03939[c] + C18047[c]"	"malonyl-[acyl-carrier protein]:biotinyl-[protein] carboxytransferase"	"Malonyl-[acyl-carrier protein] + Biotinyl-[protein] <=> Acetyl-[acyl-carrier protein] + Carboxybiotinyl-[protein]"
"R04237"	"C00019[c] + C03516[c] <=> C00021[c] + C04536[c]"	"S-adenosyl-L-methionine:magnesium-protoporphyrin-IX O-methyltransferase"	"S-Adenosyl-L-methionine + Magnesium protoporphyrin <=> S-Adenosyl-L-homocysteine + Magnesium protoporphyrin monomethyl ester"
"R00653"	"C03145[c] + C00001[c] <=> C00058[c] + C00073[c]"	"N-formyl-L-methionine amidohydrolase"	"N-Formylmethionine + H2O <=> Formate + L-Methionine"
"R12995"	"C00029[c] + C20716[c] <=> C00015[c] + C20780[c]"	"X"	"UDP-glucose + Protopanaxatriol <=> UDP + Ginsenoside F1"
"R03668"	"C00024[c] + C01678[c] <=> C00010[c] + C03537[c]"	"acetyl-CoA:thioethanolamine S-acetyltransferase"	"Acetyl-CoA + Cysteamine <=> CoA + S-Acetylthioethanolamine"
"R05904"	"G10615 + G00103 <=> G10620 + G00104"	"X"	"G10615 + G00103 <=> G10620 + G00104"
"R05324"	"C00029[c] + C06738[c] <=> C06739[c] + C00015[c]"	"UDPglucose:cis-p-coumarate beta-D-glucosyltransferase"	"UDP-glucose + cis-p-Coumarate <=> 4'-O-beta-D-Glucosyl-cis-p-coumarate + UDP"
"R02872"	"C03428[c] + C00005[c] + C00080[c] <=> C00013[c] + C00751[c] + C00006[c]"	"presqualene-diphosphate diphosphate-lyase (reducing, squalene-forming)"	"Presqualene diphosphate + NADPH + H+ <=> Diphosphate + Squalene + NADP+"
"R10406"	"C20586[c] <=> C20528[c]"	"X"	"Terpendole G <=> Terpendole B"
"R03017"	"C00024[c] + C00863[c] <=> C00010[c] + C03707[c]"	"acetyl-CoA:monoterpenol O-acetyltransferase"	"Acetyl-CoA + Monoterpenol <=> CoA + Monoterpenol acetate ester"
"R11250"	"C21210[c] + C21416[c] <=> C21211[c] + C00454[c]"	"X"	"NDP-1-epi-valienol + 2-Amino-1,5-anhydro-2-deoxyglucitol <=> Salbostatin 6'-phosphate + NDP"
"R02895"	"C00763[c] + C00064[c] <=> C05939[c]"	"X"	"D-Proline + L-Glutamine <=> Linatine"
"R01181"	"C00630[c] <=> C00136[c]"	"2-methylpropanoyl-CoA CoA-carbonylmutase"	"2-Methylpropanoyl-CoA <=> Butanoyl-CoA"
"R10072"	"C16269[c] + 4 C22150[c] + 4 C00080[c] + 2 C00007[c] <=> C17954[c] + 4 C22151[c] + 3 C00001[c]"	"(+)-epi-isozizaene,reduced-ferredoxin:oxygen oxidoreductase (5-hydroxylating)"	"(+)-epi-Isozizaene + 4 Reduced [2Fe-2S] ferredoxin + 4 H+ + 2 Oxygen <=> Albaflavenone + 4 Oxidized [2Fe-2S] ferredoxin + 3 H2O"
"R06767"	"C12479[c] + 2 C12481[c] + 2 C00019[c] <=> C12480[c] + 2 C00363[c] + 2 C00021[c]"	"X"	"Coumermic acid + 2 dTDP-5-dimethyl-L-lyxose + 2 S-Adenosyl-L-methionine <=> Coumermycin D + 2 dTDP + 2 S-Adenosyl-L-homocysteine"
"R10733"	"C00448[c] <=> C19736[c] + C00013[c]"	"(2E,6E)-farnesyl diphosphate lyase (cyclizing, (+)-alpha-santalene-forming)"	"trans,trans-Farnesyl diphosphate <=> (+)-alpha-Santalene + Diphosphate"
"R00213"	"C03015[c] + C00001[c] <=> C00022[c] + 2 C00014[c] + C00011[c]"	"O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)"	"O-Carbamoyl-L-serine + H2O <=> Pyruvate + 2 Ammonia + CO2"
"R01049"	"C00002[c] + C00117[c] <=> C00020[c] + C00119[c]"	"ATP:D-ribose-5-phosphate diphosphotransferase"	"ATP + D-Ribose 5-phosphate <=> AMP + 5-Phospho-alpha-D-ribose 1-diphosphate"
"R02231"	"C00414[c] + C00007[c] + C00005[c] + C00080[c] <=> C01880[c] + C00006[c] + C00001[c]"	"cyclohexanone,NADPH:oxygen oxidoreductase (6-hydroxylating 1,2-lactonizing)"	"Cyclohexanone + Oxygen + NADPH + H+ <=> epsilon-Caprolactone + NADP+ + H2O"
"R07533"	"C15892[c] + C00019[c] <=> C15895[c] + C00021[c]"	"demethylspheroidene O-methyltransferase"	"Chloroxanthin + S-Adenosyl-L-methionine <=> 3,4-Dihydrospheroidene + S-Adenosyl-L-homocysteine"
"R07400"	"C00916[c] + C00001[c] + C00007[c] <=> C04712[c] + C00014[c] + C00027[c]"	"cephalosporin C:oxygen oxidoreductase (deaminating)"	"Cephalosporin C + H2O + Oxygen <=> (7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate + Ammonia + Hydrogen peroxide"
"R06191"	"G10611 + G00074 <=> G10619 + G00075"	"X"	"G10611 + G00074 <=> G10619 + G00075"
"R11687"	"C02915[c] + C03024[c] + C00007[c] <=> C21586[c] + C03161[c] + C00001[c]"	"(S)-N-methylcanadine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (1-hydroxylating)"	"(S)-cis-N-Methylcanadine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (S)-1-Hydroxy-cis-N-methylcanadine + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R13218"	"C22832[c] + C03024[c] + C00007[c] <=> C00523[c] + C00033[c] + C03161[c] + C00001[c]"	"5alpha-pregnane-3alpha,17alpha-diol-20-one,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating, acetate-releasing)"	"5alpha-Pregnane-3alpha,17alpha-diol-20-one + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Androsterone + Acetate + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R11222"	"C10682[c] + C03024[c] + C00007[c] <=> C21191[c] + C03161[c] + 2 C00001[c]"	"(-)-matairesinol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (methylenedioxy-bridge-forming)"	"Matairesinol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Pluviatolide + [Oxidized NADPH---hemoprotein reductase] + 2 H2O"
"R11074"	"C00149[c] <=> C00186[c] + C00011[c]"	"(S)-malate carboxy-lyase"	"(S)-Malate <=> (S)-Lactate + CO2"
"R07343"	"C15585[c] + C00001[c] <=> C00137[c] + C00009[c]"	"myo-inositol-phosphate phosphohydrolase"	"myo-Inositol phosphate + H2O <=> myo-Inositol + Orthophosphate"
"R00865"	"C00392[c] + 2 C00125[c] <=> C00095[c] + 2 C00126[c] + 2 C00080[c]"	"D-mannitol:ferricytochrome-c 2-oxidoreductase"	"Mannitol + 2 Ferricytochrome c <=> D-Fructose + 2 Ferrocytochrome c + 2 H+"
"R12352"	"C20961[c] + C00064[c] + C00002[c] + C00001[c] <=> C20966[c] + C00025[c] + C00020[c] + C00013[c]"	"N3-fumaroyl-L-2,3-diaminopropanoate:L-glutamine amido-ligase (AMP-forming)"	"N3-Fumaroyl-L-2,3-diaminopropanoate + L-Glutamine + ATP + H2O <=> 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine + L-Glutamate + AMP + Diphosphate"
"R09212"	"C18285[c] <=> C18280[c]"	"X"	"Benzo[a]pyrene-trans-11,12-dihydrodiol <=> 11,12-Dihydroxybenzo[a]pyrene"
"R07190"	"C15503[c] <=> C04350[c] + C00011[c] + C00001[c]"	"X"	"N,N-Dihydroxy-L-tyrosine <=> (E)-4-Hydroxyphenylacetaldehyde oxime + CO2 + H2O"
"R04930"	"C05699[c] + C00001[c] <=> C05688[c] + C00014[c] + C00109[c]"	"selenocystathionine lysteine-lyase (deaminating)"	"X + H2O <=> L-Selenocysteine + Ammonia + 2-Oxobutanoate"
"R06699"	"C12366[c] <=> C12367[c] + C00001[c]"	"tetracenomycin-F2 hydro-lyase (tetracenomycin-F1-forming)"	"Tetracenomycin F2 <=> Tetracenomycin F1 + H2O"
"R07777"	"C09762[c] + C00007[c] + C03024[c] <=> C15567[c] + C00001[c] + C03161[c]"	"liquiritigenin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating, aryl migration)"	"Liquiritigenin + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> 2,7,4'-Trihydroxyisoflavanone + H2O + [Oxidized NADPH---hemoprotein reductase]"
"R04155"	"C03179[c] <=> C05780[c] + 2 C14819[c]"	"X"	"Transferrin[Fe(III)]2 <=> Apotransferrin + 2 Fe3+"
"R12570"	"C00342[c] + C15498[c] <=> C00343[c] + C00001[c] + C01335[c]"	"thioredoxin:hydroperoxide oxidoreductase"	"Thioredoxin + ROOH <=> Thioredoxin disulfide + H2O + ROH"
"R12375"	"C22119[c] + C00003[c] <=> C22122[c] + C00004[c] + C00011[c] + C00080[c]"	"3beta-hydroxyergosta-7,24(24(1))-dien-4alpha-carboxylate:NAD+ 3-oxidoreductase (decarboxylating)"	"3beta-Hydroxyergosta-7,24(24(1))-dien-4alpha-carboxylate + NAD+ <=> Episterone + NADH + CO2 + H+"
"R12912"	"C12115[c] + C00005[c] + C00080[c] + C00007[c] <=> C22455[c] + C00006[c] + C00001[c]"	"3-amino-4-hydroxybenzoate,NADPH:oxygen oxidoreductase (2-hydroxylating)"	"3-Amino-4-hydroxybenzoate + NADPH + H+ + Oxygen <=> 3-Amino-2,4-dihydroxybenzoate + NADP+ + H2O"
"R09106"	"C00406[c] + C18218[c] <=> C00010[c] + C18217[c]"	"feruloyl-CoA:16-hydroxypalmitate feruloyltransferase"	"Feruloyl-CoA + 16-Hydroxypalmitate <=> CoA + 16-Feruloyloxypalmitate"
"R11642"	"C02420[c] + C03024[c] + C00007[c] <=> C02659[c] + C03161[c] + C00001[c]"	"X"	"Isobutyronitrile + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Acetone cyanohydrin + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R11631"	"C10172[c] <=> C21514[c]"	"proline-betaine 2-epimerase"	"Stachydrine <=> D-Proline betaine"
"R05742"	"C07347[c] + C00030[c] + C00007[c] <=> C07348[c] + C00028[c] + C00001[c]"	"thiophene-2-carbonyl-CoA,hydrogen-donor:oxygen oxidoreductase"	"Thiophene-2-carbonyl-CoA + Reduced acceptor + Oxygen <=> 5-Hydroxythiophene-2-carbonyl-CoA + Acceptor + H2O"
"R13349"	"C11691[c] + C00006[c] <=> C22937[c] + C00005[c] + C00080[c]"	"stemmadenine:NADP+ 17-oxidoreductase"	"Stemmadenine + NADP+ <=> 17-Dehydrostemmadenine + NADPH + H+"
"R05373"	"C02557[c] <=> C00100[c] + C00011[c]"	"methylmalonyl-CoA carboxy-lyase"	"Methylmalonyl-CoA <=> Propanoyl-CoA + CO2"
"R05211"	"C00019[c] + C06520[c] <=> C00021[c] + C02105[c]"	"S-adenosyl-L-methionine:(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinolie N- methyltransferase"	"S-Adenosyl-L-methionine + (S)-Norreticuline <=> S-Adenosyl-L-homocysteine + (S)-Reticuline"
"R07398"	"C04248[c] + C00001[c] <=> C15658[c] + C00416[c]"	"glycoprotein-phosphatidylinositol phosphatidohydrolase"	"6-(alpha-D-Glucosaminyl)-1-phosphatidyl-1D-myo-inositol + H2O <=> 6-(alpha-D-Glucosaminyl)-1D-myo-inositol + Phosphatidate"
"R08804"	"C17748[c] + C00019[c] <=> C10462[c] + C00021[c]"	"S-adenosyl-L-methionine:1-(3,4-dihydroxyphenyl)-5-hydroxy-3-decanone O-methyltransferase"	"1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone + S-Adenosyl-L-methionine <=> [6]-Gingerol + S-Adenosyl-L-homocysteine"
"R07226"	"C00227[c] + C00014[c] + C00343[c] + C00001[c] <=> C00037[c] + C00009[c] + C00342[c]"	"acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase (glycine-forming)"	"Acetyl phosphate + Ammonia + Thioredoxin disulfide + H2O <=> Glycine + Orthophosphate + Thioredoxin"
"R06758"	"C12456[c] + C00007[c] <=> C12457[c] + C00011[c]"	"3-(4-hydroxy-3-prenylphenyl)pyruvate:oxygen 1,2-oxidoreductase (4-hydroxy-3-prenylmandelate-forming)"	"3-Dimethylallyl-4-hydroxyphenylpyruvate + Oxygen <=> 3-Dimethylallyl-4-hydroxymandelic acid + CO2"
"R05968"	"G10615 + G00097 <=> G10620 + G00099"	"X"	"G10615 + G00097 <=> G10620 + G00099"
"R12193"	"C04088[c] + C22068[c] <=> C21999[c] + C00229[c]"	"octadecanoyl-[acyl-carrier protein]:KDO2-lipid-IVA O-octadecanoyltransferase"	"Octadecanoyl-[acyl-carrier protein] + H. pylori KDO2-lipid IVA <=> Stearoyl-KDO2-lipid IVA + Acyl-carrier protein"
"R13310"	"C16826[c] <=> C22908[c] + C00013[c]"	"(2Z,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, (+)-2-epi-prezizaene-forming)"	"2-cis,6-trans-Farnesyl diphosphate <=> (+)-2-epi-Prezizaene + Diphosphate"
"R12722"	"C22361[c] + C21097[c] <=> C00020[c] + C22362[c]"	"X"	"Glycyl-AMP + Peptidyl-carrier protein <=> AMP + Glycyl-[peptidyl-carrier protein]"
"R10658"	"C00019[c] + C20762[c] <=> C00021[c] + C20763[c]"	"S-adenosyl-L-methionine:3-O-phospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-alpha-diphospho-ditrans,octacis-undecaprenol 3-phospho-methyltransferase"	"S-Adenosyl-L-methionine + 3-O-Phospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol <=> S-Adenosyl-L-homocysteine + 3-O-Methylphospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"
"R00189"	"C00002[c] + C00857[c] + C00014[c] <=> C00020[c] + C00013[c] + C00003[c]"	"deamido-NAD+:ammonia ligase (AMP-forming)"	"ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+"
"R05902"	"G10610 + G00097 <=> G10619 + G00102"	"X"	"G10610 + G00097 <=> G10619 + G00102"
"R01278"	"C00154[c] + C00006[c] <=> C05272[c] + C00005[c] + C00080[c]"	"hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase;"	"Palmitoyl-CoA + NADP+ <=> trans-Hexadec-2-enoyl-CoA + NADPH + H+"
"R10218"	"C11101[c] + C00004[c] + C00080[c] <=> C20443[c] + C00003[c]"	"X"	"5-Hydroxymethyl-2-furaldehyde + NADH + H+ <=> 5-Hydroxymethylfurfuryl alcohol + NAD+"
"R01413"	"C00178[c] + C00028[c] + C00001[c] <=> C05281[c] + C00030[c]"	"thymine:acceptor oxidoreductase"	"Thymine + Acceptor + H2O <=> 5-Methylbarbiturate + Reduced acceptor"
"R02532"	"C00547[c] + C00001[c] + C00007[c] <=> C05577[c] + C00014[c] + C00027[c]"	"4-[(1R)-2-amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)"	"L-Noradrenaline + H2O + Oxygen <=> 3,4-Dihydroxymandelaldehyde + Ammonia + Hydrogen peroxide"
"R03601"	"C00979[c] + C01528[c] <=> C05688[c] + C00033[c]"	"O3-acetyl-L-serine acetate-lyase (adding hydrogen sulfide)"	"O-Acetyl-L-serine + Hydrogen selenide <=> L-Selenocysteine + Acetate"
"R10298"	"C12137[c] + C01175[c] <=> C08725[c] + C00482[c]"	"1-O-sinapoyl-beta-D-glucose:pelargonidin-3-O-beta-D-glucoside 5-O-beta-D-glucosyltransferase"	"Pelargonidin 3-O-glucoside + 1-O-Sinapoyl-beta-D-glucose <=> Pelargonin + Sinapate"
"R06015"	"G10615 + G00015 <=> G10620 + G00178"	"X"	"G10615 + G00015 <=> G10620 + G00178"
"R04977"	"C05782[c] <=> C06258[c] + C00032[c]"	"X"	"Myoglobin <=> Globin + Heme"
"R13078"	"C22571[c] <=> C22572[c] + C00011[c]"	"X"	"5-Hydroxy-5-(4-hydroxyphenyl)-3-oxopentanoate <=> 4-Hydroxy-4-(4-hydroxyphenyl)-butan-2-one + CO2"
"R02880"	"C03329[c] + 2 C00007[c] + C00080[c] <=> C00757[c] + 2 C00027[c]"	"(S)-tetrahydroberberine:oxigen oxidoreductase"	"(S)-Canadine + 2 Oxygen + H+ <=> Berberine + 2 Hydrogen peroxide"
"R08999"	"C09305[c] + C00005[c] + C00007[c] + C00080[c] <=> C00841[c] + C00006[c] + C00001[c]"	"X"	"Psoralen + NADPH + Oxygen + H+ <=> Xanthotoxol + NADP+ + H2O"
"R09372"	"2 C00005[c] + 2 C00080[c] + C18902[c] <=> 2 C00006[c] + 2 C00001[c] + C05703[c]"	"methaneselenol:NADP+ oxidoreductase"	"2 NADPH + 2 H+ + Methylselenic acid <=> 2 NADP+ + 2 H2O + X"
"R02161"	"C00390[c] + 2 C00125[c] <=> C00399[c] + 2 C00126[c] + 2 C00080[c]"	"ubiquinol:ferricytochrome-c oxidoreductase"	"Ubiquinol + 2 Ferricytochrome c <=> Ubiquinone + 2 Ferrocytochrome c + 2 H+"
"R12106"	"C21906[c] + C00003[c] <=> C21472[c] + C00004[c] + C00080[c]"	"3-oxochol-4-en-24-oyl-CoA Delta6-oxidoreductase"	"3-Oxochol-4-en-24-oyl-CoA + NAD+ <=> 3-Oxochola-4,6-dien-24-oyl-CoA + NADH + H+"
"R09293"	"C18324[c] + C04253[c] <=> C06028[c] + C04570[c]"	"(2S)-methylsuccinyl-CoA:electron-transfer flavoprotein oxidoreductase"	"(2S)-Methylsuccinyl-CoA + Electron-transferring flavoprotein <=> 2-Methylfumaryl-CoA + Reduced electron-transferring flavoprotein"
"R05357"	"C06657[c] + C00001[c] <=> C06658[c] + C00086[c]"	"amidinoproclavaminate amidinohydrolase"	"Guanidinoproclavaminic acid + H2O <=> Proclavaminic acid + Urea"
"R12411"	"C22139[c] + C00026[c] + C00007[c] <=> C22140[c] + C00042[c] + C00011[c]"	"gamma-L-glutamyl-L-propargylglycine,2-oxoglutarate:oxygen oxidoreductase"	"gamma-L-Glutamyl-L-propargylglycine + 2-Oxoglutarate + Oxygen <=> L-gamma-Glutamyl-(3R)-L-beta-ethynylserine + Succinate + CO2"
"R00032"	"C02094[c] + C00007[c] <=> 2 C00376[c]"	"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)"	"beta-Carotene + Oxygen <=> 2 Retinal"
"R04236"	"C03894[c] + C00003[c] <=> C03505[c] + C00004[c] + C00080[c]"	"propane-1,2-diol-1-phosphate:NAD+ oxidoreductase"	"Propane-1,2-diol 1-phosphate + NAD+ <=> Hydroxyacetone phosphate + NADH + H+"
"R08682"	"C17264[c] <=> C17265[c] + C00011[c]"	"3-alkylmalate oxidoreductase (decarboxylating)"	"3-Alkylmalic acid <=> Aliphatic oxo acid + CO2"
"R10204"	"C20423[c] + C00019[c] + C00030[c] <=> C20440[c] + C01438[c] + C00073[c] + C05198[c] + C00028[c]"	"alpha-D-ribose-1-methylphosphonate-5-phosphate C-P-lyase (methane forming)"	"alpha-D-Ribose 1-methylphosphonate 5-phosphate + S-Adenosyl-L-methionine + Reduced acceptor <=> alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate + Methane + L-Methionine + 5'-Deoxyadenosine + Acceptor"
"R03920"	"C00002[c] + C02336[c] <=> C00008[c] + C05345[c]"	"ATP:D-fructose 6-phosphotransferase"	"ATP + beta-D-Fructose <=> ADP + beta-D-Fructose 6-phosphate"
"R02094"	"C00002[c] + C00364[c] <=> C00008[c] + C00363[c]"	"ATP:dTMP phosphotransferase"	"ATP + dTMP <=> ADP + dTDP"
"R07080"	"C07535[c] + C00005[c] + C00007[c] + C00080[c] <=> C14850[c] + C00006[c] + C00001[c]"	"benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)"	"Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-7,8-oxide + NADP+ + H2O"
"R04210"	"C03393[c] + C00003[c] <=> C06054[c] + C00004[c] + C00080[c]"	"4-phospho-D-erythronate:NAD+ 2-oxidoreductase"	"4-Phospho-D-erythronate + NAD+ <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + NADH + H+"
"R10883"	"C17352[c] <=> C17351[c]"	"nocardicin-C epimerase"	"Isonocardicin C <=> Nocardicin C"
"R09477"	"C00379[c] + C00003[c] <=> C00181[c] + C00004[c] + C00080[c]"	"xylitol:NAD+ oxidoreductase"	"Xylitol + NAD+ <=> D-Xylose + NADH + H+"
"R08963"	"C03852[c] + C00006[c] <=> C03917[c] + C00005[c] + C00080[c]"	"androstan-3alpha,17beta-diol:NADP+ oxidoreductase"	"Androstan-3alpha,17beta-diol + NADP+ <=> Dihydrotestosterone + NADPH + H+"
"R09822"	"C15682[c] + C00019[c] <=> C15681[c] + C00021[c]"	"S-adenosyl-L-methionine:mycinamicin VI 2''-O-methyltransferase"	"Mycinamicin VI + S-Adenosyl-L-methionine <=> Mycinamicin III + S-Adenosyl-L-homocysteine"
"R11474"	"C21352[c] + C00005[c] + C00080[c] <=> C21353[c] + C00006[c]"	"dTDP-4-oxo-2-deoxy-beta-L-xylose:NADP+ oxidoreductase"	"dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene + NADPH + H+ <=> dTDP-4-oxo-2-deoxy-beta-L-xylose + NADP+"
"R03358"	"C04227[c] <=> C03765[c] + C00014[c]"	"1-(4-hydroxyphenyl)-2-aminoethanol hydro-lyase [deaminating; (4-hydroxyphenyl)acetaldehyde-forming];"	"Octopamine <=> 4-Hydroxyphenylacetaldehyde + Ammonia"
"R05773"	"C07303[c] <=> C00755[c] + C00024[c]"	"feruloyl-CoA hydro-lyase/vanillin-lyase (acetyl-CoA-forming)"	"4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA <=> 4-Hydroxy-3-methoxy-benzaldehyde + Acetyl-CoA"
"R11150"	"C18315[c] + C00004[c] + C00007[c] + C00080[c] <=> C18316[c] + C00003[c] + C00088[c] + C00001[c]"	"4-methyl-5-nitrocatechol,NADH:oxygen 5-oxidoreductase (5-hydroxylating, nitrite-forming)"	"4-Methyl-5-nitrocatechol + NADH + Oxygen + H+ <=> 2-Hydroxy-5-methylquinone + NAD+ + Nitrite + H2O"
"R12025"	"C21859[c] + C00003[c] <=> C06644[c] + C00004[c] + C00080[c]"	"X"	"cis-3-[2,2-Dichloro-1-(4-chlorophenyl)vinyl]-6-chlorocyclohexa-3,5-diene-1,2-diol + NAD+ <=> 1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'-chlorophenyl)ethylene + NADH + H+"
"R10914"	"C20937[c] + 2 C00126[c] + C00007[c] + C00080[c] <=> C00088[c] + 2 C00125[c] + C00001[c]"	"X"	"Nitroxyl + 2 Ferrocytochrome c + Oxygen + H+ <=> Nitrite + 2 Ferricytochrome c + H2O"
"R01157"	"C00179[c] + C00001[c] <=> C00134[c] + C00086[c]"	"agmatine amidinohydrolase"	"Agmatine + H2O <=> Putrescine + Urea"
"R01134"	"C00130[c] + C00014[c] + C00006[c] <=> C00144[c] + C00005[c] + C00080[c]"	"inosine-5'-phosphate:NADP+ oxidoreductase (aminating);"	"IMP + Ammonia + NADP+ <=> GMP + NADPH + H+"
